USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          79  0.0  0.0      0     0 ?        I<   18:55   0:00 [kthrotld]
root          81  0.2  0.0      0     0 ?        I    18:55   0:00 [kworker/2:2-events]
root          82  0.0  0.0      0     0 ?        I    18:55   0:00 [kworker/3:1-events]
root          83  0.0  0.0      0     0 ?        I    18:55   0:00 [kworker/5:1-events]
root          84  0.0  0.0      0     0 ?        I<   18:55   0:00 [acpi_thermal_pm]
root          85  0.1  0.0      0     0 ?        I    18:55   0:00 [kworker/u32:2-events_unbound]
root          86  0.0  0.0      0     0 ?        I<   18:55   0:00 [amd_iommu_v2]
root          87  0.0  0.0      0     0 ?        I<   18:55   0:00 [nvme-wq]
root          88  0.0  0.0      0     0 ?        I<   18:55   0:00 [nvme-reset-wq]
root          89  0.0  0.0      0     0 ?        I<   18:55   0:00 [nvme-delete-wq]
root          90  0.0  0.0      0     0 ?        S    18:55   0:00 [scsi_eh_0]
root          91  0.0  0.0      0     0 ?        I<   18:55   0:00 [scsi_tmf_0]
root          92  0.2  0.0      0     0 ?        I    18:55   0:00 [kworker/u32:3-events_unbound]
root          93  0.0  0.0      0     0 ?        S    18:55   0:00 [scsi_eh_1]
root          94  0.0  0.0      0     0 ?        I<   18:55   0:00 [scsi_tmf_1]
root          95  0.0  0.0      0     0 ?        I    18:55   0:00 [kworker/u32:4-events_power_efficient]
root          96  0.0  0.0      0     0 ?        I<   18:55   0:00 [mld]
root          97  0.1  0.0      0     0 ?        S    18:55   0:00 [kworker/u32:5+events_unbound]
root          98  0.0  0.0      0     0 ?        I<   18:55   0:00 [ipv6_addrconf]
root         100  0.1  0.0      0     0 ?        I    18:55   0:00 [kworker/u32:6-events_unbound]
root         110  0.0  0.0      0     0 ?        I<   18:55   0:00 [kstrp]
root         114  0.0  0.0      0     0 ?        I<   18:55   0:00 [zswap1]
root         115  0.0  0.0      0     0 ?        I<   18:55   0:00 [zswap1]
root         116  0.0  0.0      0     0 ?        I<   18:55   0:00 [zswap-shrink]
root         117  0.0  0.0      0     0 ?        I<   18:55   0:00 [kworker/u33:0]
root         156  0.0  0.0      0     0 ?        I<   18:55   0:00 [charger_manager]
root         157  0.0  0.0      0     0 ?        I<   18:56   0:00 [kworker/4:1H-kblockd]
root         169  0.0  0.0      0     0 ?        I<   18:56   0:00 [kworker/0:1H-kblockd]
root         184  0.0  0.0      0     0 ?        I<   18:56   0:00 [kworker/5:1H-kblockd]
root         186  0.0  0.0      0     0 ?        I    18:56   0:00 [kworker/3:2-events]
root         187  0.0  0.0      0     0 ?        I<   18:56   0:00 [kworker/3:1H-kblockd]
root         188  0.0  0.0      0     0 ?        I    18:56   0:00 [kworker/2:3-events]
root         200  0.0  0.0      0     0 ?        I<   18:56   0:00 [reiserfs/sda2]
root         201  0.0  0.0      0     0 ?        I<   18:56   0:00 [kworker/1:1H-kblockd]
root         234  4.7  0.0  24076 12308 ?        Ss   18:56   0:00 /usr/lib/systemd/systemd-journald
root         239  0.0  0.0      0     0 ?        I    18:56   0:00 [kworker/5:2-events]
root         240  0.0  0.0      0     0 ?        I    18:56   0:00 [kworker/4:2-events]
root         245  0.0  0.0      0     0 ?        I<   18:56   0:00 [iprt-VBoxWQueue]
root         257  0.0  0.0      0     0 ?        S    18:56   0:00 [iprt-VBoxTscThr]
root         258  0.0  0.0      0     0 ?        R    18:56   0:00 [kworker/0:2-events]
root         264  4.5  0.0  32676 10232 ?        Ss   18:56   0:00 /usr/lib/systemd/systemd-udevd
